code,name,industry
002241,歌尔股份,['电子器件']
002242,九阳股份,['家电行业']
002243,通产丽星,['塑料制品']
002244,滨江集团,['房地产']
002245,澳洋顺昌,['交通运输']
002246,北化股份,['化工行业']
002247,帝龙文化,['建筑建材']
002248,华东数控,['机械行业']
002249,大洋电机,['电器行业']
002250,联化科技,['化工行业']
002251,步 步 高,['商业百货']
002252,上海莱士,['生物制药']
002253,川大智胜,['电子信息']
002254,泰和新材,['化纤行业']
002255,海陆重工,['机械行业']
002256,兆新股份,['化工行业']
002258,利尔化学,['农药化肥']
002259,升达林业,['家具行业']
002260,德奥通航,['家电行业']
002261,拓维信息,['电子信息']
002262,恩华药业,['生物制药']
002263,大 东 南,['塑料制品']
002264,新 华 都,['商业百货']
002265,西仪股份,['汽车制造']
002266,浙富控股,['电器行业']
002267,陕天然气,['供水供气']
002268,卫 士 通,['电子信息']
002269,美邦服饰,['服装鞋类']
002270,华明装备,['机械行业']
002271,东方雨虹,['建筑建材']
002272,川润股份,['机械行业']
002273,水晶光电,['电子器件']
002274,华昌化工,['农药化肥']
002275,桂林三金,['生物制药']
002276,万马股份,['发电设备']
002277,友阿股份,['商业百货']
002278,神开股份,['机械行业']
002279,久其软件,['电子信息']
002280,联络互动,['电子信息']
002281,光迅科技,['电子信息']
002282,博深工具,['机械行业']
002283,天润曲轴,['汽车制造']
002284,亚太股份,['汽车制造']
002285,世联行,['房地产']
002286,保龄宝,['食品行业']
002287,奇正藏药,['生物制药']
002288,超华科技,['电子器件']
002289,*ST宇顺,['电子器件']
002290,禾盛新材,['家电行业']
002291,星期六,['服装鞋类']
002292,奥飞娱乐,['传媒娱乐']
002293,罗莱生活,['服装鞋类']
002294,信立泰,['生物制药']
002295,精艺股份,['有色金属']
002296,辉煌科技,['电子信息']
002297,博云新材,['其它行业']
002298,中电鑫龙,['电器行业']
002299,圣农发展,['农林牧渔']
002300,太阳电缆,['发电设备']
002302,西部建设,['水泥行业']
002303,美盈森,['造纸行业']
002304,洋河股份,['酿酒行业']
002305,南国置业,['房地产']
002306,中科云网,['酒店旅游']
002307,北新路桥,['建筑建材']
002308,威创股份,['电子信息']
002309,中利科技,['电器行业']
002310,东方园林,['建筑建材']
002311,海大集团,['农林牧渔']
002312,三泰控股,['电子信息']
002313,日海通讯,['电子信息']
002314,南山控股,['建筑建材']
002315,焦点科技,['电子信息']
002316,键桥通讯,['电子信息']
002317,众生药业,['生物制药']
002318,久立特材,['钢铁行业']
002319,乐通股份,['化工行业']
002320,海峡股份,['交通运输']
002321,华英农业,['农林牧渔']
002322,理工环科,['电器行业']
002323,雅百特,['发电设备']
002324,普利特,['塑料制品']
002325,洪涛股份,['建筑建材']
002326,永太科技,['化工行业']
002327,富安娜,['服装鞋类']
002328,新朋股份,['机械行业']
002329,皇氏集团,['食品行业']
002330,得利斯,['食品行业']
002331,皖通科技,['电子信息']
002332,仙琚制药,['生物制药']
002333,罗普斯金,['有色金属']
002334,英威腾,['电器行业']
002335,科华恒盛,['电器行业']
002336,*ST人乐,['商业百货']
002337,赛象科技,['机械行业']
002338,奥普光电,['仪器仪表']
002339,积成电子,['电器行业']
002340,格林美,['有色金属']
002341,新纶科技,['化工行业']
002342,巨力索具,['机械行业']
002343,慈文传媒,['塑料制品']
002344,海宁皮城,['商业百货']
002345,潮宏基,['服装鞋类']
002346,柘中股份,['水泥行业']
002347,泰尔股份,['机械行业']
002349,精华制药,['生物制药']
002350,北京科锐,['发电设备']
002351,漫步者,['电子信息']
002352,鼎泰新材,['钢铁行业']
002353,杰瑞股份,['机械行业']
002354,天神娱乐,['电子信息']
002355,兴民智通,['汽车制造']
002356,赫美集团,['仪器仪表']
002357,富临运业,['交通运输']
002358,森源电气,['发电设备']
002359,齐星铁塔,['钢铁行业']
002360,同德化工,['化工行业']
002361,神剑股份,['化工行业']
002362,汉王科技,['电子信息']
002363,隆基机械,['汽车制造']
002364,中恒电气,['电器行业']
002365,永安药业,['生物制药']
002366,台海核电,['机械行业']
002367,康力电梯,['交通运输']
002368,太极股份,['电子信息']
002369,卓翼科技,['电子信息']
002370,亚太药业,['生物制药']
002371,七星电子,['电子器件']
002372,伟星新材,['建筑建材']
002373,千方科技,['电子信息']
002374,丽鹏股份,['印刷包装']
002375,亚厦股份,['建筑建材']
002376,新北洋,['电子信息']
002377,国创高新,['化工行业']
002378,章源钨业,['有色金属']
002379,*ST鲁丰,['有色金属']
002380,科远股份,['电器行业']
002381,双箭股份,['化工行业']
002382,蓝帆医疗,['医疗器械']
002383,合众思壮,['电子信息']
002384,东山精密,['电子信息']
002385,大北农,['农林牧渔']
002386,天原集团,['化工行业']
