code,xcode,name,ipo_date,issue_date,amount,markets,price,pe,limit,funds,ballot
300534,300534,陇神戎发,2016-09-01,2016-09-13,2167,1950,13.64,22.99,0.85,2.9560000000000004,0.03
603067,732067,振华股份,2016-09-01,2016-09-13,5500,4950,6.13,22.98,2.2,3.372,0.04
002812,002812,创新股份,2016-08-31,2016-09-14,3348,3013,23.41,22.99,1.3,7.837999999999999,0.03
603393,732393,新天然气,2016-08-31,2016-09-12,4000,3600,26.66,22.99,1.6,10.22,0.04
002811,002811,亚泰国际,2016-08-30,2016-09-08,4500,4050,13.99,22.98,1.8,6.295,0.03
601163,780163,三角轮胎,2016-08-30,2016-09-09,20000,18000,22.07,22.98,6.0,44.14,0.11
300543,300543,朗科智能,2016-08-25,2016-09-08,1500,1500,22.52,22.46,1.5,3.378,0.02
002807,002807,江阴银行,2016-08-24,2016-09-02,20945,18850,4.64,10.17,5.9,9.718,0.1
603843,732843,正平股份,2016-08-24,2016-09-05,9970,8973,5.03,22.97,2.9,5.015,0.07
603658,732658,安图生物,2016-08-19,2016-09-01,4200,3780,14.58,22.99,1.2,6.124,0.05
300539,300539,横河模具,2016-08-19,2016-08-30,2375,2138,6.12,22.96,0.9,1.454,0.03
300537,300537,广信材料,2016-08-17,2016-08-30,2500,2250,9.19,22.98,1.0,3.0380000000000003,0.03
603090,732090,宏盛股份,2016-08-16,2016-08-31,2500,2250,8.47,22.98,1.0,2.1180000000000003,0.03
002810,002810,山东赫达,2016-08-16,2016-08-26,2398,2158,9.91,22.98,0.85,2.376,0.03
603007,732007,花王股份,2016-08-12,2016-08-26,3335,3002,11.66,22.97,1.3,3.889,0.04
300538,300538,同益股份,2016-08-12,2016-08-26,1400,1400,15.85,22.98,1.4,2.219,0.02
002809,002809,红墙股份,2016-08-11,2016-08-23,2000,2000,22.46,22.69,2.0,4.492,0.02
300540,300540,深冷股份,2016-08-10,2016-08-23,2000,2000,16.67,22.98,2.0,3.3339999999999996,0.02
603031,732031,安德利,2016-08-10,2016-08-22,2000,2000,11.71,22.99,2.0,2.342,0.02
603515,732515,欧普照明,2016-08-09,2016-08-19,5800,5220,14.94,22.99,1.7,8.665,0.06
300533,300533,冰川网络,2016-08-09,2016-08-18,2500,2250,37.02,21.97,1.0,9.255,0.03
603986,732986,兆易创新,2016-08-08,2016-08-18,2500,2250,23.26,16.41,1.0,5.815,0.03
601595,780595,上海电影,2016-08-05,2016-08-17,9350,8415,10.19,22.25,3.7,9.537,0.06
300532,300532,今天国际,2016-08-05,2016-08-18,2100,1890,16.32,22.99,0.8,3.427,0.03
601997,780997,贵阳银行,2016-08-04,2016-08-16,50000,45000,8.49,6.08,15.0,42.45,0.22
002808,002808,苏州恒久,2016-08-03,2016-08-12,3000,2700,7.71,22.99,1.2,2.314,0.03
600936,730936,广西广电,2016-08-03,2016-08-15,30000,27000,4.8,22.86,9.0,14.4,0.15
603159,732159,上海亚虹,2016-08-02,2016-08-12,2500,2250,6.88,18.3,1.0,1.72,0.03
300535,300535,达威股份,2016-08-01,2016-08-12,1494,1494,18.5,22.98,1.45,2.764,0.02
300530,300530,达志科技,2016-07-29,2016-08-09,1750,1750,11.95,22.98,1.75,2.0909999999999997,0.02
603569,732569,长久物流,2016-07-29,2016-08-10,4001,3601,15.43,22.98,1.2,6.1739999999999995,0.05
600977,730977,中国电影,2016-07-28,2016-08-09,46700,42030,8.92,22.98,14.0,41.656000000000006,0.22
300531,300531,优博讯,2016-07-27,2016-08-09,2000,2000,13.36,22.98,2.0,2.6719999999999997,0.02
601811,780811,新华文轩,2016-07-27,2016-08-08,9871,8884,7.12,14.67,2.9,7.028,0.08
300528,300528,幸福蓝海,2016-07-26,2016-08-08,7763,6987,6.62,22.98,3.1,5.14,0.05
300527,300527,华舟应急,2016-07-25,2016-08-05,11570,10413,6.64,22.99,3.45,7.682,0.08
300529,300529,健帆生物,2016-07-22,2016-08-02,4200,3780,10.8,22.98,1.2,4.5360000000000005,0.05
300526,300526,中潜股份,2016-07-21,2016-08-02,2125,1913,10.5,22.99,0.7,2.231,0.04
600919,730919,江苏银行,2016-07-20,2016-08-02,115445,103900,6.27,7.64,34.6,72.384,0.47
603663,732663,三祥新材,2016-07-19,2016-08-01,3355,3020,5.28,22.98,1.3,1.771,0.04
603322,732322,超讯通信,2016-07-18,2016-07-28,2000,2000,11.99,22.98,2.0,2.398,0.02
300525,300525,博思软件,2016-07-15,2016-07-26,1710,1710,11.68,22.99,1.7,1.9969999999999999,0.02
002806,002806,华锋股份,2016-07-14,2016-07-26,2000,2000,6.2,22.96,2.0,1.24,0.02
300523,300523,辰安科技,2016-07-13,2016-07-26,2000,2000,21.92,22.99,2.0,4.3839999999999995,0.02
300517,300517,海波重科,2016-07-07,2016-07-19,2560,2304,10.04,22.97,1.0,2.57,0.04
002803,002803,吉宏股份,2016-06-30,2016-07-12,2900,2610,6.37,22.84,1.15,3.0039999999999996,0.03
603069,732069,海汽集团,2016-06-29,2016-07-12,7900,7110,3.82,18.2,2.3,3.0180000000000002,0.08
300520,300520,科大国创,2016-06-28,2016-07-08,2300,2070,10.05,22.84,0.9,2.312,0.04
002805,002805,丰元股份,2016-06-27,2016-07-07,2423,2181,5.8,22.97,0.95,1.405,0.03
300521,300521,爱司凯,2016-06-24,2016-07-05,2000,2000,11.26,22.98,2.0,2.252,0.02
300522,300522,世名科技,2016-06-23,2016-07-05,1667,1667,18.55,22.98,1.65,3.092,0.02
601966,780966,玲珑轮胎,2016-06-22,2016-07-06,20000,18000,12.98,22.97,6.0,25.96,0.14
603016,732016,新宏泰,2016-06-21,2016-07-01,3705,3335,8.49,19.3,1.4,3.148,0.05
002802,002802,洪汇新材,2016-06-20,2016-06-29,2700,2430,9.52,22.98,1.05,2.57,0.03
603958,732958,哈森股份,2016-06-17,2016-06-29,5436,4892,9.15,22.98,2.1,4.974,0.06
603909,732909,合诚股份,2016-06-16,2016-06-28,2500,2250,10.55,21.0,1.0,2.638,0.04
300518,300518,盛讯达,2016-06-15,2016-06-24,2334,2101,22.22,22.68,0.9,5.188,0.04
002801,002801,微光股份,2016-06-13,2016-06-22,1472,1472,19.51,15.24,1.45,2.872,0.02
300519,300519,新光药业,2016-06-08,2016-06-24,2000,2000,12.2,8.26,2.0,2.44,0.02
601127,780127,小康股份,2016-05-31,2016-06-15,14250,12825,5.81,18.19,4.2,8.55,0.11
300515,300515,三德科技,2016-05-30,2016-06-08,2500,2250,8.57,22.98,1.0,2.1430000000000002,0.04
002799,002799,环球印务,2016-05-27,2016-06-08,2500,2250,7.98,22.99,1.0,1.995,0.03
603131,732131,上海沪工,2016-05-26,2016-06-07,2500,2250,10.09,22.98,1.0,2.522,0.04
601611,780611,中国核建,2016-05-25,2016-06-06,52500,47250,3.47,15.6,15.7,20.212,0.28
300516,300516,久之洋,2016-05-24,2016-06-02,3000,2700,22.5,22.98,1.2,6.75,0.04
603737,732737,三棵树,2016-05-23,2016-06-03,2500,2250,15.94,18.09,1.0,3.987,0.04
